antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
salt,Dijon mustard,0.3884,0.0156,0.00525,0.013516992790937179,0.8664738968549474,-0.0008090399999999996,0.9978884509983036,-0.20125673517515177
Dijon mustard,salt,0.0156,0.3884,0.00525,0.33653846153846156,0.8664738968549474,-0.0008090399999999996,0.9218318840579709,-0.1353557052369527
salt,Tabasco sauce,0.3884,0.0144,0.00685,0.017636457260556127,1.2247539764275088,0.00125704,1.0032945616564015,0.30004821623789224
Tabasco sauce,salt,0.0144,0.3884,0.00685,0.4756944444444445,1.2247539764275088,0.00125704,1.1664953642384104,0.1861906341833349
Worcestershire sauce,butter,0.03515,0.26755,0.0075,0.21337126600284495,0.7975005270149316,-0.001904382500000001,0.9311254068716095,-0.20833968081966958
butter,Worcestershire sauce,0.26755,0.03515,0.0075,0.028032143524574844,0.7975005270149316,-0.001904382500000001,0.9926768602191886,-0.25742699730289903
Worcestershire sauce,garlic,0.03515,0.1378,0.00695,0.19772403982930298,1.434862408050094,0.002106329999999999,1.0746925531914893,0.31411003238658997
garlic,Worcestershire sauce,0.1378,0.03515,0.00695,0.05043541364296081,1.434862408050094,0.002106329999999999,1.0160972869698126,0.35150668609162766
Worcestershire sauce,lemon juice,0.03515,0.0706,0.0045,0.12802275960170695,1.8133535354349426,0.0020184099999999996,1.065853507340946,0.4648759450231181
lemon juice,Worcestershire sauce,0.0706,0.03515,0.0045,0.06373937677053824,1.8133535354349428,0.0020184099999999996,1.0305357034795763,0.4826076560744087
Worcestershire sauce,onion,0.03515,0.1885,0.0149,0.4238975817923186,2.2487935373597803,0.008274225,1.4086037037037036,0.5755476126796494
onion,Worcestershire sauce,0.1885,0.03515,0.0149,0.07904509283819629,2.2487935373597807,0.008274225,1.04766258640553,0.6843094443548486
Worcestershire sauce,pepper,0.03515,0.1033,0.00775,0.22048364153627312,2.13440117653701,0.004119005,1.1503286496350364,0.5508467804622815
pepper,Worcestershire sauce,0.1033,0.03515,0.00775,0.07502420135527589,2.1344011765370094,0.004119005,1.0431083725798012,0.5927116272209572
salt,Worcestershire sauce,0.3884,0.03515,0.0162,0.04170957775489186,1.1866167213340502,0.002547739999999998,1.0068450832885545,0.25714176133840383
Worcestershire sauce,salt,0.03515,0.3884,0.0162,0.46088193456614507,1.1866167213340502,0.002547739999999998,1.1344453825857517,0.16299725473863064
Worcestershire sauce,water,0.03515,0.18135,0.0066,0.18776671408250356,1.0353830387786245,0.0002255474999999993,1.0079000875656743,0.03541883571162723
water,Worcestershire sauce,0.18135,0.03515,0.0066,0.03639371381306865,1.0353830387786245,0.0002255474999999993,1.0012906866952789,0.041744168614625946
salt,active dry yeast,0.3884,0.00635,0.006,0.01544799176107106,2.4327546080426865,0.00353366,1.0092407426778243,0.9629550904730763
active dry yeast,salt,0.00635,0.3884,0.006,0.9448818897637796,2.432754608042687,0.00353366,11.096171428571447,0.5927070229289321
active dry yeast,water,0.00635,0.18135,0.0051,0.8031496062992127,4.428726806171562,0.003948427500000001,4.158742000000003,0.7791490671647314
water,active dry yeast,0.18135,0.00635,0.0051,0.028122415219189414,4.428726806171562,0.003948427500000001,1.022402425531915,0.9457050883628356
all-purpose flour,baking powder,0.06365,0.076,0.0222,0.3487824037706206,4.589242154876587,0.017362600000000002,1.4188805790108567,0.8352636290907237
baking powder,all-purpose flour,0.076,0.06365,0.0222,0.29210526315789476,4.589242154876587,0.017362600000000002,1.322724907063197,0.8464275964275965
all-purpose flour,baking soda,0.06365,0.06305,0.01735,0.27258444619010214,4.323306045838258,0.013336867500000002,1.288053293736501,0.8209489327080797
